#SampleID	BarcodeSequence	LinkerPrimerSequence	SOURCE_ENV	Env	SourceSink	RUN_DATE	TITLE	STUDY_CENTER	COUNTRY	PMID	LAB_PERSON	LAB_PERSON_CONTACT	PRINCIPAL_INVESTIGATOR	PRINCIPAL_INVESTIGATOR_CONTACT	ENV_FEATURE	ENV_BIOME	SEQUENCING_METH	ENV_MATTER	TARGET_GENE	TARGET_SUBFRAGMENT	LOCATION	LATITUDE	LONGITUDE	MEAN_ANN_TEMP	MEAN_ANN_PRECIP	NET_PRIMARY_PROD	ELEVATION	RESIDENCE	NUM_BEDROOMS
466.I			Oxford 	OH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	466	39.5	-84.7	10.77943425	83.16314985	0.993678073	313.1816711	One-family house detached from any other house	3
467.I			Jamaica Plain	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	467	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	"Low rise apartment (multiple units, with 4 or fewer stories)"	3
469.I			cleveland	MS	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	469	33.7	-90.7	17.32943425	108.7146024	1.240498185	40.30333328	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
470.I			Fort Myers	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	470	26.6	-81.9	23.39021407	111.2025994	2.157934589	8.213375092	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
471.I			Frederick	MD	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	471	39.4	-77.5	12.51139144	88.78639144	1.209267119	137.5811157	One-family house detached from any other house	4
473.I			Livingston	MT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	473	45.6	-110.6	5.189678899	39.41597859	0.491331013	1787.723633	One-family house detached from any other house	4
474.I			Charlotte	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	474	35.2	-80.8	16.00198777	93.89120795	1.29519988	201.6608276	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
475.I			DeKalb	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	475	41.9	-88.8	9.293730887	70.24816514	0.941437009	238.2258301	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
476.I			ELMHURST	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	476	41.9	-87.9	9.759174312	71.12874618	NA	193.5566711	One-family house detached from any other house	4
478.I			Port Washington	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	478	43.4	-87.9	7.990061162	63.14136086	1.151347664	187.468338	One-family house detached from any other house	3
479.I			Columbia	SC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	479	34	-81	16.90611621	99.18990826	1.844109631	114.922226	One-family house detached from any other house	3
480.I			Winona	MN	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	480	43.9	-91.6	7.465214067	63.08065749	0.917398551	335.3013916	One-family house detached from any other house	1
481.I			Hillsborough	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	481	36.2	-79	14.54518349	92.76712538	2.011053903	137.7061157	One-family house detached from any other house	3
482.I			clintwood	VA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	482	37.2	-82.5	12.56039755	90.50022936	2.276234096	523.3805542	One-family house detached from any other house	3
483.I			Raleigh	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	483	35.9	-78.5	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	4
484.I			Garner	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	484	35.7	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
485.I			Portland	OR	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	485	45.5	-122.8	10.72392966	91.80917431	1.927392495	120.6025009	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
486.I			Cranford	NJ	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	486	40.7	-74.3	11.15	97.4837156	2.2052544	60.80302048	One-family house detached from any other house	5
487.I			stephenson 	VA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	487	39.2	-78.1	11.92561162	79.51605505	1.19715324	272.7061157	Duplex or two-family house (designed for two families)	2
489.I			Austin	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	489	30.2	-97.7	20.15902141	63.98692661	0.917398545	210.0549927	One-family house detached from any other house	3
490.I			Superior	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	490	46.7	-92.1	4.333103976	57.81360856	1.97471229	336.3366699	One-family house detached from any other house	2
491.I			"Macomb, "	MI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	491	42.7	-82.9	8.752599388	61.41047401	1.059168685	197.3336182	One-family house detached from any other house	3
493.I			Hickory	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	493	35.8	-81.3	15.03088685	98.2733945	2.611258339	330.7252808	One-family house detached from any other house	3
494.I			Lexington	KY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	494	38	-84.5	12.78448012	93.83784404	1.278921863	269.7555542	One-family house detached from any other house	5
495.I			Dearborn Heights	MI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	495	42.3	-83.3	9.307874618	67.98195719	1.165732887	191.672226	One-family house detached from any other house	2
496.I			Albany	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	496	37.9	-122.3	14.09617737	41.10183486	1.87041945	115.6696014	One-family house detached from any other house	2
497.I			New Hampton	IA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	497	43.1	-92.3	7.603975535	68.0896789	0.928755302	370.4841614	One-family house detached from any other house	3
498.I			Mountain View	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	498	37.4	-122.1	13.79136086	51.00313456	2.266391583	253.009201	One-family house detached from any other house	3
499.I			SCOTT TOWNSHIP	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	499	41.5	-75.6	8.354892966	78.0030581	1.615271047	414.5877686	Duplex or two-family house (designed for two families)	1
500.I			Bryan	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	500	30.8	-96.3	20.41727829	82.12798165	1.094374625	93.21138763	One-family house detached from any other house	3
501.I			Coatesville	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	501	40	-75.8	11.8103211	92.14327217	1.691739853	81.75190735	One-family house detached from any other house	2
502.I			Cambridge	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	502	42.4	-71.1	9.388990826	94.63203364	NA	52.88596344	One-family house detached from any other house	4
503.I			Charlotte 	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	503	35	-80.8	16.00198777	93.89120795	1.739248934	201.6608276	One-family house detached from any other house	4
504.I			Sunspot	NM	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	504	32.8	-105.8	11.21567278	34.46146789	1.321320413	2038.452759	Duplex or two-family house (designed for two families)	3
505.I			Portland	OR	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	505	45.6	-122.7	10.72392966	91.80917431	1.927392495	120.6025009	One-family house detached from any other house	2
506.I			Gainesville	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	506	29.7	-82.3	20.72599388	115.0859327	3.247236528	36.76833344	One-family house detached from any other house	3
507.I			Escanaba	MI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	507	45.8	-87.1	5.451605505	66.24701835	2.305572376	226.0319519	One-family house detached from any other house	3
508.I			San Jose	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	508	37.3	-121.9	12.78998471	51.68119266	1.116520292	378.8544312	One-family house detached from any other house	3
509.I			Oakland	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	509	37.8	-122.2	14.09617737	41.10183486	1.87041945	115.6696014	One-family house detached from any other house	3
510.I			Denver	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	510	39.7	-105	6.594877676	32.73715596	0.720737433	2119.006104	One-family house detached from any other house	3
511.I			Madison	AL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	511	34.7	-86.7	15.94151376	114.7675076	1.581957906	220.6450043	One-family house detached from any other house	3
512.I			Burlington	VT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	512	44.5	-73.2	6.708715596	74.17110092	1.360501207	70.81639099	Duplex or two-family house (designed for two families)	2
513.I			Davis	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	513	38.5	-121.7	15.42813456	41.17079511	0.94541187	15.96166706	One-family house detached from any other house	3
514.I			Fremont	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	514	37.6	-122	14.09617737	41.10183486	1.116520292	115.6696014	One-family house detached from any other house	4
515.I			Morrisville	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	515	35.8	-78.8	15.40512232	94.05412844	1.698932469	96.75722504	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
517.I			Perkins	OK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	517	36	-97	16.20550459	71.10703364	0.705784373	313.6911011	One-family house detached from any other house	3
519.I			Colorado Springs	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	519	38.8	-104.8	9.466513761	29.63233945	0.520290734	2004.253662	One-family house detached from any other house	3
520.I			Northfield	NH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	520	43.4	-71.6	6.960091743	87.59441896	2.167398556	222.6697235	Duplex or two-family house (designed for two families)	2
521.I			Cambridge	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	521	42.4	-71.1	9.388990826	94.63203364	NA	52.88596344	Duplex or two-family house (designed for two families)	3
522.I			Greensburg 	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	522	40.3	-79.6	10.59304281	88.16972477	1.641202297	330.4186096	One-family house detached from any other house	3
523.I			Boalsburg	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	523	40.8	-77.8	9.469877676	80.85925076	2.201847367	372.6585999	One-family house detached from any other house	3
524.I			Missoula	MT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	524	46.9	-114	5.834250765	28.80466361	1.125416421	1497.740845	One-family house detached from any other house	1
525.I			Wilton	IA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	525	41.6	-91	9.620107034	69.42721713	0.925158992	239.0658264	One-family house detached from any other house	3
526.I			Cave Creek 	AZ	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	526	33.8	-112	18.85779817	27.44740061	0.584456391	732.7105713	One-family house detached from any other house	3
527.I			Chapel Hill	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	527	35.9	-79	14.88906728	97.33899083	1.698932469	136.7336121	One-family house detached from any other house	5
528.I			Beaufort	SC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	528	32.4	-80.7	19.1353211	106.0122324	2.820033317	2.902759552	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
530.I			Seattle	WA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	530	47.6	-122.4	11.1014526	79.94380734	2.186705014	84.25081635	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
531.I			Duluth	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	531	34	-84.2	16.65221713	102.9034404	2.095661718	274.2244568	One-family house detached from any other house	4
532.I			Austin	MN	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	532	43.7	-93	6.743730887	65.97629969	1.001438524	395.8069458	One-family house detached from any other house	3
533.I			Worthington	OH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	533	40.1	-83	10.11330275	77.9633792	1.082828585	285.2580566	One-family house detached from any other house	4
534.I			Cary	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	534	35.8	-78.8	15.40512232	94.05412844	1.698932469	96.75722504	Duplex or two-family house (designed for two families)	2
535.I			Milford	NH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	535	42.8	-71.6	7.73264526	92.51964832	2.227400058	205.5700073	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
536.I			Tampa	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	536	28	-82.4	22.15588685	112.4344801	1.448705334	25.95861053	One-family house detached from any other house	3
537.I			Milwaukie	OR	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	537	45.5	-122.6	11.17729358	90.90749235	1.927392495	96.17082977	One-family house detached from any other house	2
539.I			Saint Peters	MO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	539	38.8	-90.6	13.017737	77.81299694	1.078664447	169.9763947	One-family house detached from any other house	4
540.I			Santa Cruz	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	540	37	-122	13.18310398	67.05321101	2.171941254	81.91304016	One-family house detached from any other house	3
541.I			Raleigh	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	541	35.8	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
543.I			Grantsville	MD	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	543	39.6	-79.1	9.591972477	97.16070336	2.057427327	684.3983154	One-family house detached from any other house	1
544.I			St. Louis	MO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	544	38.6	-90.2	13.58379205	78.43256881	1.065982738	148.6699982	One-family house detached from any other house	2
546.I			Santa Barbara	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	546	34.4	-119.8	14.03287462	28.1837156	1.6612659	285.3345032	Duplex or two-family house (designed for two families)	2
547.I			Atlanta	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	547	33.9	-84.3	16.65221713	102.9034404	2.095661718	274.2244568	One-family house detached from any other house	3
548.I			Temple	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	548	31.1	-97.4	19.59510703	66.32217125	0.87992126	175.5569458	One-family house detached from any other house	3
550.I			SARASOTA	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	550	27.3	-82.5	22.81444954	104.4943425	1.576658087	10.83112431	One-family house detached from any other house	3
551.I			Buckingham	VA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	551	37.7	-78.7	13.8103211	83.39036697	2.266013008	238.8325043	One-family house detached from any other house	2
552.I			Moraga	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	552	37.9	-122.1	14.09617737	41.10183486	1.87041945	115.6696014	One-family house detached from any other house	3
553.I			Rolling Hills Estates	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	553	33.8	-118.4	16.55206422	24.44931193	1.220434586	35.27723312	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
554.I			Colchester	VT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	554	44.5	-73.2	6.708715596	74.17110092	1.360501207	70.81639099	One-family house detached from any other house	4
555.I			Eldorado	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	555	37.8	-88.4	13.97438838	95.6587156	1.002195638	127.8700027	One-family house detached from any other house	3
556.I			Greensboro	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	556	36	-79.8	14.56414373	88.55282875	1.67546184	225.6538849	One-family house detached from any other house	2
557.I			Vallejo	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	557	38.1	-122.3	14.24908257	60.2470948	1.87041945	143.1794128	Duplex or two-family house (designed for two families)	2
558.I			los angeles	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	558	34.1	-118.3	13.37056575	39.35022936	1.220434586	619.3668823	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
560.I			Winston-Salem	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	560	36.1	-80.3	14.2883792	90.05229358	2.060455779	275.8555603	One-family house detached from any other house	3
561.I			Kingston Springs	TN	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	561	36.1	-87.2	14.82522936	106.3435015	1.798114779	194.0680542	One-family house detached from any other house	3
562.I			Mount Horeb	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	562	43	-89.6	7.131957187	66.57591743	0.996327977	294.9661255	One-family house detached from any other house	3
563.I			Portland	OR	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	563	45.5	-122.7	10.72392966	91.80917431	1.927392495	120.6025009	One-family house detached from any other house	3
564.I			Port St Lucie	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	564	27.3	-80.3	23.22836391	114.6227064	NA	5.639574051	One-family house detached from any other house	3
565.I			Fayetteville	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	565	35	-78.9	15.98998471	99.99847095	1.314317073	53.32805634	One-family house detached from any other house	3
566.I			Cedar Park	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	566	30.5	-97.9	20.15902141	63.98692661	0.917398545	210.0549927	One-family house detached from any other house	4
567.I			Houston 	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	567	29.8	-95.4	20.45542813	93.55756881	2.567534829	14.17661858	"High rise apartment (multiple units, with 5 or more stories)"	1
569.I			New Castle	DE	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	569	39.7	-75.6	11.8103211	92.14327217	1.236334048	81.75190735	One-family house detached from any other house	2
570.I			Feasterville	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	570	40.2	-75	11.35496942	95.97515291	2.082980009	41.57500076	One-family house detached from any other house	4
571.I			Raleigh	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	571	35.9	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
572.I			Knoxville	TN	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	572	35.9	-83.9	13.88509174	106.1841743	1.977740765	523.4371948	One-family house detached from any other house	3
573.I			Saint Paul	MN	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	573	44.9	-93.2	7.233333333	59.23409786	0.919291337	284.1616516	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
574.I			Orlando	FL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	574	28.6	-81.4	21.99166667	115.6674312	2.152256217	14.28972244	One-family house detached from any other house	3
575.I			Mount Horeb	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	575	43	-89.7	7.131957187	66.57591743	0.996327977	294.9661255	One-family house detached from any other house	4
576.I			Colorado Springs	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	576	38.8	-104.9	9.466513761	29.63233945	0.520290734	2004.253662	One-family house detached from any other house	5
